active,covariance,elitist,orthogonal,sequential,threshold,sigma,bound_correction,mirrored,base_sampler,weights_option,local_restart,step_size_adaptation,centre
True (0.99),False (0.12),False (0.99),False (0.66),False (0.12),True (0.02),False (0.07),nan (0.03),mirrored pairwise (0.02),gaussian (0.11),equal (0.48),IPOP (0.36),psr (0.92),0.9926456
True (0.87),False (0.11),False (0.99),False (0.48),False (0.40),False (0.50),False (0.01),nan (0.02),nan (0.01),gaussian (0.01),default (0.06),BIPOP (0.15),psr (0.99),0.9925664
True (0.99),False (0.05),False (0.99),False (0.66),False (0.12),True (0.02),False (0.07),nan (0.03),mirrored pairwise (0.02),gaussian (0.11),equal (0.49),BIPOP (0.36),psr (0.92),0.99252003
True (0.56),False (0.19),False (0.99),False (0.48),False (0.40),False (0.52),False (0.00),nan (0.02),nan (0.01),gaussian (0.01),default (0.05),IPOP (0.15),psr (0.99),0.9922142
False (0.00),False (0.01),True (0.06),True (0.99),True (0.39),False (0.99),False (0.01),nan (0.00),mirrored pairwise (0.59),halton (0.04),default (0.40),IPOP (0.91),psr (0.85),0.99181956
False (0.99),True (0.99),True (0.03),True (0.99),False (0.28),False (0.99),True (0.01),nan (0.01),mirrored pairwise (0.04),sobol (0.30),default (0.57),IPOP (0.70),msr (0.69),0.9917014
True (0.01),False (0.07),True (0.04),True (0.99),True (0.27),False (0.99),True (0.00),nan (0.01),mirrored pairwise (0.35),halton (0.03),default (0.38),IPOP (0.91),psr (0.84),0.99133646
False (0.01),False (0.06),True (0.03),True (0.99),True (0.33),False (0.99),False (0.01),nan (0.02),mirrored pairwise (0.29),halton (0.08),equal (0.40),IPOP (0.68),psr (0.72),0.9908574
True (0.77),False (0.12),False (0.99),False (0.03),False (0.29),False (0.17),False (0.01),nan (0.02),mirrored pairwise (0.01),gaussian (0.01),default (0.01),IPOP (0.05),psr (0.99),0.9898969
False (0.35),True (0.99),True (0.99),False (0.37),False (0.06),True (0.03),True (0.22),nan (0.04),mirrored pairwise (0.14),sobol (0.16),equal (0.58),BIPOP (0.53),csa (0.99),0.9896005
True (0.99),False (0.09),False (0.99),False (0.05),True (0.06),False (0.64),True (0.02),nan (0.02),mirrored pairwise (0.34),halton (0.13),equal (0.92),BIPOP (0.16),msr (0.69),0.9893694
True (0.99),False (0.11),False (0.99),False (0.05),True (0.06),False (0.64),True (0.02),nan (0.02),mirrored pairwise (0.34),halton (0.13),equal (0.96),IPOP (0.16),msr (0.69),0.98935163
True (0.01),False (0.04),False (0.99),True (0.99),False (0.11),False (0.99),True (0.01),nan (0.02),mirrored (0.02),sobol (0.02),default (0.24),IPOP (0.13),msr (0.54),0.989288
True (0.01),False (0.03),False (0.99),True (0.99),False (0.10),False (0.99),True (0.01),nan (0.02),mirrored (0.02),sobol (0.02),default (0.24),BIPOP (0.13),msr (0.54),0.9892632
False (0.02),False (0.01),False (0.99),True (0.99),False (0.02),False (0.99),True (0.01),nan (0.01),mirrored pairwise (0.03),sobol (0.04),equal (0.32),BIPOP (0.18),msr (0.34),0.9888555
True (0.41),False (0.18),False (0.99),False (0.03),False (0.21),False (0.15),False (0.00),nan (0.02),mirrored pairwise (0.01),gaussian (0.01),default (0.01),BIPOP (0.05),psr (0.98),0.98885393
False (0.01),True (0.99),True (0.02),True (0.99),True (0.16),False (0.99),True (0.24),nan (0.02),nan (0.60),halton (0.33),default (0.47),IPOP (0.64),msr (0.81),0.988808
False (0.02),False (0.02),False (0.99),True (0.99),False (0.02),False (0.99),True (0.01),nan (0.01),mirrored pairwise (0.03),sobol (0.04),equal (0.30),IPOP (0.18),msr (0.34),0.98870456
True (-0.00),False (0.22),True (0.07),True (0.99),True (0.50),False (0.99),False (-0.00),nan (0.00),mirrored pairwise (0.59),halton (0.02),default (0.26),IPOP (0.89),psr (0.85),0.9885534
False (0.21),True (0.99),True (0.99),True (0.19),False (0.40),True (0.65),True (0.08),nan (0.02),mirrored (0.52),sobol (0.22),equal (0.57),BIPOP (0.99),csa (0.99),0.98855066
