active,covariance,elitist,orthogonal,sequential,threshold,sigma,bound_correction,mirrored,base_sampler,weights_option,local_restart,step_size_adaptation,unif
True (0.48),True (0.31),False (0.61),True (0.34),False (0.34),True (0.62),False (0.55),nan (0.55),mirrored (0.28),halton (0.43),1/2^lambda (0.61),nan (0.62),psr (0.62),0.61647815
False (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
False (0.00),False (0.46),True (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
False (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.34),gaussian (0.37),equal (0.57),BIPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.34),gaussian (0.37),equal (0.57),BIPOP (0.00),lpxnes (0.57),0.5704758
False (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),BIPOP (0.00),lpxnes (0.57),0.5704758
False (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),BIPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),IPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),IPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),BIPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),BIPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),IPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.57),False (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),IPOP (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.49),False (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
False (0.00),False (0.46),True (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
True (0.00),False (0.49),False (0.00),True (0.49),False (0.32),True (0.57),True (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),nan (0.00),lpxnes (0.57),0.5704758
False (0.00),False (0.57),True (0.00),True (0.49),False (0.32),True (0.57),False (0.00),nan (-0.09),nan (0.33),gaussian (0.37),equal (0.57),IPOP (0.00),lpxnes (0.57),0.5704758
